$MET data for Worcester Airport; FROM: NCEI CDO_2017_METDATA, , , , , 
JDAY,TAIR,TDEW,WIND,PH10,CLOUD
Day,C,C,m S-1,rad,tenth
9.579167,-14.44,-20,3.129,4.887,0
9.620833,-13.33,-19.44,4.47,4.712,0
9.6625,-11.67,-19.44,4.023,4.887,0
9.704167,-11.11,-18.89,4.47,4.538,0
9.745833,-10.56,-18.33,4.023,4.189,0
9.7875,-10,-18.89,3.576,4.538,3.125
9.829167,-9.44,-17.78,4.023,4.014,0
9.870833,-9.44,-17.78,3.576,3.491,0
9.9125,-10.56,-17.78,2.682,3.665,0
9.954167,-11.67,-17.22,4.023,3.665,0
9.995833,-12.22,-17.78,4.47,3.665,3.125
10.0375,-11.67,-17.78,4.917,4.014,0
10.079167,-11.67,-16.67,6.259,4.189,0
10.120833,-11.67,-16.67,5.812,3.84,3.125
10.1625,-11.67,-16.11,4.917,4.014,0
10.204167,-10.56,-14.44,6.706,4.189,0
10.245833,-10.56,-14.44,6.706,4.189,0
10.2875,-10.56,-15,7.6,4.189,0
10.329167,-10.56,-16.11,6.706,4.189,0
10.370833,-11.11,-16.11,5.812,4.189,0
10.4125,-11.67,-16.11,4.023,3.84,0
10.454167,-11.11,-16.11,3.576,4.014,0
10.495833,-12.22,-16.11,3.129,4.014,0
10.5375,-10.56,-15.56,3.576,4.363,0
10.579167,-7.78,-13.89,5.812,4.189,0
10.620833,-5,-9.44,6.259,3.84,0
10.6625,-3.33,-7.22,6.259,3.665,0
10.704167,-3.89,-8.33,4.47,3.142,0.871
10.714583,-3.33,-7.78,4.023,3.142,1.089
10.745833,-3.33,-6.67,4.023,3.142,1.742
10.7875,-2.22,-5.56,3.129,2.967,2.612
10.814583,-1.11,-5.56,2.682,3.142,3.179
10.829167,-1.11,-5,2.235,2.793,3.483
10.870833,-0.56,-4.44,2.682,2.618,4.354
10.9125,0,-3.33,2.682,2.094,5.225
10.954167,0,-2.78,3.129,2.269,6.096
10.966667,0,-2.78,3.129,2.618,6.357
10.995833,0,-2.22,2.682,3.316,6.967
11.002083,0,-1.67,2.682,3.665,7.097
11.020833,0.56,-1.11,4.023,2.793,7.489
11.031944,1.11,0,5.812,2.967,7.721
11.036111,2.22,0,6.259,2.967,7.808
11.0375,1.67,0,6.259,2.967,7.837
11.058333,1.67,0.56,6.259,2.967,8.273
11.067361,2.22,1.11,4.917,3.142,8.462
11.079167,2.22,1.11,4.917,3.142,8.708
11.095139,3.33,1.67,5.812,3.142,9.042
11.120833,3.33,2.22,4.917,3.142,9.579
11.126389,3.33,2.78,6.706,3.142,9.695
11.132639,3.33,2.22,5.812,3.142,9.826
11.140972,3.89,2.78,6.259,3.142,10
11.147222,3.89,2.78,6.706,3.142,10
11.1625,3.89,3.33,6.706,3.316,10
11.168056,3.89,3.33,6.706,3.316,10
11.177778,4.44,3.33,6.259,3.316,10
11.179861,4.44,3.33,7.6,3.142,9.953
11.2,3.89,2.78,6.259,3.142,9.498
11.204167,3.89,2.78,7.153,3.142,9.404
11.229167,4.44,2.78,7.6,3.316,8.84
11.2375,4.44,2.78,7.6,3.316,8.652
11.245833,4.44,2.78,8.047,3.316,8.464
11.261806,5,3.33,8.047,3.316,8.103
11.277778,5,3.33,9.835,3.316,7.743
11.2875,5,3.33,8.047,3.316,7.524
11.295139,5,3.33,8.047,3.316,7.351
11.324306,5,3.89,6.706,3.491,6.693
11.329167,5,3.89,6.706,3.491,6.583
11.336111,5,3.89,8.941,3.316,6.426
11.360417,5.56,3.89,10.729,3.665,5.878
11.365278,5.56,3.89,11.623,3.665,5.768
11.370833,5.56,3.89,10.729,3.84,5.643
11.375694,6.11,3.89,12.517,3.665,5.533
11.381944,6.11,3.89,12.964,3.84,5.392
11.386806,6.11,3.33,13.411,3.84,5.282
11.4125,5.56,3.33,14.305,3.665,4.702
11.43125,6.11,3.89,11.623,3.665,4.279
11.454167,6.11,3.89,8.941,4.014,3.762
11.495833,5.56,3.33,8.941,4.014,2.821
11.510417,5.56,2.78,11.176,4.014,2.492
11.5375,5.56,2.22,10.729,4.189,1.881
11.577778,6.11,2.22,8.941,4.014,0.972
11.579167,5.56,1.67,9.388,4.189,0.94
11.620833,6.11,1.67,8.047,4.014,0
11.6625,7.22,1.11,9.388,4.189,0
11.704167,8.33,0.56,7.153,4.189,0
11.745833,8.89,-1.11,7.6,4.363,0
11.7875,8.33,-1.11,6.259,4.189,0
11.829167,7.78,-0.56,4.47,3.84,0
11.870833,7.22,-0.56,3.576,4.014,0
11.9125,5.56,-1.11,4.023,3.84,0
11.954167,5.56,-1.11,3.576,3.316,0
11.995833,5,-1.67,3.129,3.491,0
12.0375,3.89,-0.56,2.682,3.142,0
12.079167,2.78,0,3.129,3.665,0
12.120833,3.33,0.56,3.576,3.665,0
12.1625,2.78,0.56,4.917,3.84,2.419
12.204167,3.89,1.67,5.812,4.014,4.839
12.245833,4.44,2.78,5.812,3.84,7.258
12.263889,4.44,3.89,4.023,3.665,8.306
12.283333,3.89,2.78,3.576,3.665,9.435
12.2875,4.44,3.89,3.576,3.665,9.677
12.293056,3.89,3.33,3.129,3.665,10
12.320139,5,3.89,6.259,3.491,9.503
12.325,5,3.89,5.812,3.491,9.413
12.325694,5,4.44,6.259,3.491,9.401
12.333333,5.56,4.44,6.259,3.491,9.26
12.341667,5.56,5,6.259,3.665,9.107
12.370833,6.67,5.56,8.941,3.84,8.571
12.389583,7.22,6.11,8.941,4.014,8.227
12.4125,7.78,6.67,9.835,3.84,7.806
12.454167,8.89,7.22,11.176,3.84,7.041
12.495833,9.44,7.78,12.517,3.84,6.276
12.5375,9.44,7.78,9.835,3.84,5.51
12.579167,10,7.78,9.835,4.014,4.745
12.599306,10,7.78,11.176,4.014,4.375
12.620833,10.56,8.33,9.388,4.189,3.98
12.6625,11.67,8.33,8.941,4.014,3.214
12.667361,11.67,8.33,9.388,4.014,3.125
12.704167,13.33,8.89,8.941,4.014,3.125
12.745833,12.22,8.89,8.941,4.014,2.778
12.7875,12.22,8.89,8.047,4.014,2.431
12.829167,12.22,8.89,9.388,4.014,2.083
12.870833,11.67,8.89,7.153,4.189,1.736
12.9125,11.11,9.44,7.153,4.363,1.389
12.954167,11.11,9.44,8.047,4.189,1.042
12.995833,11.11,9.44,6.259,4.363,0.694
13.0375,11.11,9.44,9.388,4.014,0.347
13.079167,11.11,9.44,8.941,4.014,0
13.120833,11.67,9.44,8.941,4.189,3.125
13.1625,12.22,9.44,9.388,4.363,0
13.204167,11.67,9.44,7.6,4.189,0
13.245833,11.67,9.44,7.153,4.363,0
13.2875,11.11,8.89,6.706,4.538,0
13.3,11.11,8.89,8.047,4.887,1.607
13.311806,10.56,7.78,7.6,4.887,3.125
13.329167,9.44,6.11,7.6,4.538,3.125
13.344444,8.33,5.56,7.6,4.712,3.125
13.350694,8.33,5.56,8.941,4.712,3.125
13.370833,7.22,3.89,12.964,5.061,3.125
13.4125,4.44,0.56,11.176,4.887,0
13.454167,3.89,-1.11,9.835,4.887,0
13.495833,2.78,-2.22,12.517,4.887,0
13.5375,2.22,-3.89,10.282,4.887,0
13.579167,1.67,-5,10.729,4.887,0
13.620833,2.22,-5,11.623,5.061,0
13.6625,3.33,-5.56,11.623,4.887,0
13.704167,2.78,-8.33,11.176,4.887,0
13.745833,2.22,-9.44,10.729,5.061,0
13.7875,2.22,-9.44,10.282,4.887,0
13.829167,1.67,-10,9.388,5.061,0
13.870833,1.11,-12.22,8.047,5.061,0
13.9125,-0.56,-13.89,5.812,5.236,0
13.954167,-1.11,-15.56,6.706,5.061,0
13.995833,-1.67,-16.67,6.259,5.236,0
14.0375,-2.22,-17.22,4.023,17.279,0
14.079167,-2.78,-18.89,4.023,5.585,0
14.120833,-3.89,-19.44,5.812,5.76,0
14.1625,-5,-17.22,3.576,5.76,0
14.204167,-6.11,-17.22,3.576,6.283,0
14.245833,-6.67,-17.22,4.023,5.934,0
14.2875,-7.22,-17.22,3.129,5.934,0
14.329167,-7.78,-17.22,3.129,5.934,0
14.370833,-8.33,-17.22,2.235,5.585,0
14.4125,-8.89,-17.78,2.682,5.934,0
14.454167,-10,-16.67,3.129,5.236,0
14.495833,-9.44,-17.78,2.235,0.175,0
14.5375,-8.89,-17.78,2.682,5.934,0
14.579167,-8.33,-17.78,1.341,0.349,0
14.620833,-7.22,-16.67,2.682,4.538,0
14.6625,-6.11,-16.67,4.47,4.189,0
14.704167,-4.44,-17.22,3.129,4.189,1.042
14.745833,-3.89,-17.78,3.129,3.665,2.083
14.7875,-2.78,-18.89,3.576,3.84,3.125
14.829167,-2.78,-18.33,4.917,4.014,2.865
14.870833,-3.33,-17.22,4.47,3.665,2.604
14.9125,-3.33,-15,4.023,3.665,2.344
14.954167,-3.89,-15,4.023,3.665,2.083
14.995833,-3.89,-15.56,5.812,3.84,1.823
15.0375,-3.89,-13.89,5.812,4.014,1.562
15.079167,-3.89,-10.56,6.259,4.014,1.302
15.120833,-3.89,-8.33,6.259,4.014,1.042
15.1625,-3.89,-8.33,4.47,4.189,0.781
15.204167,-4.44,-7.78,4.47,4.363,0.521
15.245833,-5,-7.78,4.023,4.538,0.26
15.2875,-5.56,-7.78,4.023,4.363,0
15.329167,-5.56,-7.78,3.576,4.538,0
15.370833,-5.56,-7.78,4.47,4.538,0
15.4125,-6.11,-8.33,3.576,4.712,0
15.454167,-6.67,-8.33,3.129,4.712,0
15.495833,-6.11,-8.89,3.129,4.887,0
15.5375,-5.56,-8.89,2.235,4.712,0
15.579167,-4.44,-8.89,4.023,5.061,0
15.620833,-2.78,-10,4.917,5.585,0
15.6625,-1.67,-10,4.917,5.411,0
15.704167,-1.11,-11.11,6.706,5.585,0
15.745833,0,-11.11,6.259,5.411,0
15.7875,0.56,-11.67,5.812,17.279,0
15.829167,0.56,-12.78,2.235,17.279,0
15.870833,0,-11.11,4.023,5.236,0
