$Malden Brook Daily Discharge,
Auto-Generated,
JDAY,Flow
1535,0.458278227
1536,0.364703092
1537,0.304719031
1538,0.273527319
1539,0.268728594
1540,0.261530507
1541,0.247134332
1542,0.224820261
1543,0.21018415
1544,0.210664023
1545,0.230098859
1546,0.226259879
1547,0.237536882
1548,0.266329232
1549,0.292722219
1550,0.350306917
1551,0.383897992
1552,0.503866114
1553,0.573447625
1554,0.412690341
1555,0.321514568
1556,0.304719031
1557,0.299920306
1558,0.283124769
1559,0.268728594
1560,0.273527319
1561,0.283124769
1562,0.292722219
1563,0.309517756
1564,0.398294166
1565,0.364703092
1566,0.309517756
1567,0.263929869
1568,0.238016755
1569,0.220021536
1570,0.203465936
1571,0.233937839
1572,0.242335607
1573,0.208024724
1574,0.174673586
1575,0.172274224
1576,0.16675569
1577,0.157638113
1578,0.141082512
1579,0.122367485
1580,0.105332011
1581,0.09453488
1582,0.088776411
1583,0.084457558
1584,0.077019535
1585,0.076779598
1586,0.081338387
1587,0.081338387
1588,0.07797928
1589,0.080618578
1590,0.195548039
1591,0.206585107
1592,0.181871673
1593,0.181631737
1594,0.128365891
1595,0.10221284
1596,0.089256283
1597,0.083497813
1598,0.085177367
1599,0.154998814
1600,0.112530099
1601,0.07030132
1602,0.06070387
1603,0.112530099
1604,0.113489844
1605,0.681418935
1606,0.683818297
1607,0.523061013
1608,0.362303729
1609,0.261530507
1610,0.242335607
1611,0.43188524
1612,0.393495441
1613,0.278326044
1614,0.194828231
1615,0.188589888
1616,0.169634925
1617,0.130045445
1618,0.101972904
1619,0.140842576
1620,0.79418897
1621,0.669422123
1622,0.415089703
1623,0.858971756
1624,0.974141153
1625,0.693415747
1626,1.149294612
1627,0.918955817
1628,0.628632961
1629,0.467875677
1630,0.508664839
1631,0.44148269
1632,0.335910743
1633,0.256731782
1634,0.208024724
1635,0.171074542
1636,0.131485062
1637,0.125966528
1638,0.126926273
1639,0.144441619
1640,0.193868486
1641,0.209224405
1642,0.145641301
1643,0.182351546
1644,0.496668027
